TIME_PERIOD,REF_AREA,MEASURE,UNIT_MEASURE,PAY_PERIOD,PRICE_BASE,AGGREGATION_OPERATION,SEX,OBS_VALUE
2017,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,14.427860696
2018,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,15.714285714
2019,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,14.351851853
2020,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,12.062573468
2021,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,13.475054231
2022,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,14.380132185
2005,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,16.814159292
2006,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,18.542521995
2007,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,16.959064326
2008,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,16.959064326
2009,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,16.958598726
2010,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,16.694715584
2014,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,9.6202531646
2015,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,9.6774193548
2016,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,8.6746987952
2017,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,9.8850574713
2018,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,13.062098501
2019,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,14.72392638
2020,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,10.980392157
2021,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,9.3984962406
2022,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,12.776831346
2023,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,10.837438424
2005,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,11.782477341
2006,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,12.827988338
2007,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,13.445378151
2008,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,14.133333333
2009,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,12.99734748
2010,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,10.933333333
2011,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,10.052910053
